@@,wdid,name,pid,position,start
->,Q8064320,Zafrul Aziz->Tengku Zafrul Tengku Abdul Aziz,Q25241999,Minister of Finance,2021-08-30
->,Q7967007,Wan Junaidi Tuanku Jaafar->Dr. Hj. Wan Junaidi Tuanku Jaafar,Q24949267,Minister in the Prime Minister's Department (Parliament and Law)->Minister in the Prime Minister's Department,2021-08-30
->,Q6653321,Maximus Ongkili->Dr. Maximus Johnity Ongkili,Q24949267,Minister in the Prime Minister's Department,2020-03-10->2021-08-30
->,Q6084858,Ismail Sabri Yaakob,Q862559,Prime Minister of Malaysia->Prime Minister,2021-08-21
->,Q20451202,Idris Ahmad->Hj. Idris Ahmad,Q24949267,Minister in the Prime Minister's Department (Religious Affairs)->Minister in the Prime Minister's Department,2021-08-30
---,Q55760030,Mohd. Redzuan Md. Yusof,Q24949267,Minister in the Prime Minister's Department,2020-03-10
---,Q468579,Wan Azizah Wan Ismail,Q5261073,Deputy Prime Minister of Malaysia,2018-05-21
+++,Q8075369,Hjh. Zuraida Kamaruddin,Q30601432,Minister of Plantation Industries and Commodities,2021-08-30
+++,Q7979293,Ir. Dr. Wee Ka Siong,Q25242000,Minister of Transport,2021-08-30
+++,Q7461744,Dr. Shahidan Kassim,Q30601408,Minister of Federal Territories,2021-08-30
+++,Q7400032,Saifuddin Abdullah,Q30601355,Minister of Foreign Affairs,2021-08-30
+++,Q73962,Mohamed Azmin Ali,Q95461539,Senior Ministers,2021-08-30
+++,Q7365021,Dr. Ronald Kiandee,Q30601423,Minister of Agriculture and Food Industries,2021-08-30
+++,Q7050236,Dr. Noraini Ahmad,Q30601405,Minister of Higher Education,2021-08-30
+++,Q7047541,Noh Omar,Q55623237,Minister of Entrepreneurship Development and Cooperative,2021-09-11
+++,Q6962983,Hjh. Nancy Shukri,Q25242001,"Minister of Tourism, Arts and Culture",2021-08-30
+++,Q6733710,Mahdzir Khalid,Q30601414,Minister of Rural Development,2021-08-30
+++,Q6155600,Mustapa Mohamed,Q24949267,Minister in the Prime Minister's Department,2021-08-30
+++,Q61113768,Dr. Mohd. Radzi Md. Jidin,Q95461539,Senior Ministers,2021-08-30
+++,Q61113768,Dr. Mohd. Radzi Md. Jidin,Q30601368,Minister of Education,2021-08-30
+++,Q5772615,Hishammuddin Hussein,Q95461539,Senior Ministers,2021-08-30
+++,Q5646531,Hamzah Zainudin,Q23939417,Minister of Home Affairs,2021-08-30
+++,Q5642346,Halimah Mohamed Sadique,Q105986187,Minister of National Unity,2021-08-30
+++,Q55847609,Dr. Adham Baba,Q30601444,"Minister of Science, Technology and Innovation",2021-08-30
+++,Q5429257,Hj. Fadillah Hj. Yusof,Q30601411,Minister of Works,2021-08-30
+++,Q5429257,Hj. Fadillah Hj. Yusof,Q95461539,Senior Ministers,2021-08-30
+++,Q54005229,Rina Mohd. Harun,Q30601417,"Minister of Women, Family and Community Development",2021-08-30
+++,Q4769706,Hj. Annuar Hj. Musa,Q30601366,Minister of Communication and Multimedia,2021-08-30
+++,Q4719738,Alexander Nanta Linggi,Q30601373,Minister of Domestic Trade and Consumer Affairs,2021-08-30
+++,Q4665513,Dr. Hj. Abdul Latiff Hj. Ahmad,Q24949267,Minister in the Prime Minister's Department,2021-08-30
+++,Q38460552,Ahmad Faizal Azumu,Q30601401,Minister of Youth and Sports,2021-08-30
+++,Q3521234,Saravanan Murugan,Q30601427,Minister of Human Resources,2021-08-30
+++,Q19646358,Reezal Merican Naina Merican,Q30601375,Minister of Housing and Local Government,2021-08-30
+++,Q1449940,Khairy Jamaluddin,Q25212085,Minister of Health,2021-08-30
+++,Q12711862,Tuan Ibrahim Tuan Man,Q106372248,Minister of Environment and Water,2021-08-30
+++,Q12710292,Hj. Takiyuddin Hassan,Q30601398,Minister of Energy and Natural Resources,2021-08-30
